scenario,scenario_label,variable,region,year,anomaly
ssp126,SSP1-2.6 (low emissions),tas,Global,2015,0.31601408158408106
ssp126,SSP1-2.6 (low emissions),tas,Global,2016,0.34440247946627767
ssp126,SSP1-2.6 (low emissions),tas,Global,2017,0.563931578573933
ssp126,SSP1-2.6 (low emissions),tas,Global,2018,0.47417096506588086
ssp126,SSP1-2.6 (low emissions),tas,Global,2019,0.4062893473344688
ssp126,SSP1-2.6 (low emissions),tas,Global,2020,0.3926262448978558
ssp126,SSP1-2.6 (low emissions),tas,Global,2021,0.403197191587214
ssp126,SSP1-2.6 (low emissions),tas,Global,2022,0.4735761141214846
ssp126,SSP1-2.6 (low emissions),tas,Global,2023,0.814514983749739
ssp126,SSP1-2.6 (low emissions),tas,Global,2024,0.8966907076596183
ssp126,SSP1-2.6 (low emissions),tas,Global,2025,0.7302469137710993
ssp126,SSP1-2.6 (low emissions),tas,Global,2026,0.8409703412269673
ssp126,SSP1-2.6 (low emissions),tas,Global,2027,0.7821364374829377
ssp126,SSP1-2.6 (low emissions),tas,Global,2028,0.8641603172302549
ssp126,SSP1-2.6 (low emissions),tas,Global,2029,0.8083361871741964
ssp126,SSP1-2.6 (low emissions),tas,Global,2030,1.0150330661014886
ssp126,SSP1-2.6 (low emissions),tas,Global,2031,1.0512903301242833
ssp126,SSP1-2.6 (low emissions),tas,Global,2032,1.1146266133398466
ssp126,SSP1-2.6 (low emissions),tas,Global,2033,1.1428385499772957
ssp126,SSP1-2.6 (low emissions),tas,Global,2034,1.1162235294180423
ssp126,SSP1-2.6 (low emissions),tas,Global,2035,1.1624226327117826
ssp126,SSP1-2.6 (low emissions),tas,Global,2036,1.2411999421122444
ssp126,SSP1-2.6 (low emissions),tas,Global,2037,1.1682263431979527
ssp126,SSP1-2.6 (low emissions),tas,Global,2038,1.2756142165373925
ssp126,SSP1-2.6 (low emissions),tas,Global,2039,1.3302655261635206
ssp126,SSP1-2.6 (low emissions),tas,Global,2040,1.2806970664694337
